nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,weight_decay,epoch_stopped,mse
5873,500,3,3,64,16,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,0.01,torch.optim.Adam,0.0001,21,0.5299509
5874,500,3,3,64,16,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,1e-05,torch.optim.Adam,0.0001,499,0.5182007
5875,500,3,3,64,16,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,0.01,torch.optim.Adam,0.0001,11,0.60901415
5876,500,3,3,64,16,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,65,0.5299677
5877,500,3,3,64,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,0.01,torch.optim.Adam,0.0001,8,0.637977
5878,500,3,3,64,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,1e-05,torch.optim.Adam,0.0001,315,0.51640946
5879,500,3,3,64,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,0.01,torch.optim.Adam,0.0001,12,0.60800296
5880,500,3,3,64,16,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,58,0.52750206
5881,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,0.01,torch.optim.Adam,0.0001,13,0.52783674
5882,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,1e-05,torch.optim.Adam,0.0001,499,0.5145936
5883,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,True,0.01,torch.optim.Adam,0.0001,79,0.5325
5884,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,True,1e-05,torch.optim.Adam,0.0001,378,0.58822453
5885,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,0.01,torch.optim.Adam,0.0001,13,0.53964907
5886,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,68,0.53863126
5887,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,True,0.01,torch.optim.Adam,0.0001,11,0.5273232
5888,500,3,3,64,64,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,True,1e-05,torch.optim.Adam,0.0001,84,1.5449473
5889,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,0.01,torch.optim.Adam,0.0001,16,0.5179765
5890,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,1e-05,torch.optim.Adam,0.0001,499,0.51443666
5891,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,True,0.01,torch.optim.Adam,0.0001,46,0.53172475
5892,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,True,1e-05,torch.optim.Adam,0.0001,400,0.70065975
5893,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,0.01,torch.optim.Adam,0.0001,9,0.659603
5894,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,49,0.5442924
5895,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,True,0.01,torch.optim.Adam,0.0001,12,0.52202964
5896,500,3,3,64,64,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,MSELoss(),0.5,True,1e-05,torch.optim.Adam,0.0001,41,1.578598
5897,500,3,3,64,256,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,0.01,torch.optim.Adam,0.0001,16,0.5178522
5898,500,3,3,64,256,Tanh(),LeakyReLU(negative_slope=0.01),None,MSELoss(),0,False,1e-05,torch.optim.Adam,0.0001,499,0.51426923
