nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
1921,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.SGD,89,285.7591975927353,0.35991175543649545,"[0.08128544423440454, 0.4065040650406504, 0.7563025210084033, 0.9683098591549296, 0.10126582278481013]","[0.7049180327868853, 0.14925373134328357, 0.31496062992125984, 0.3884180790960452, 0.6114649681528662]","[0.14576271186440676, 0.21834061135371177, 0.4447189623224213, 0.5544354838709677, 0.17375565610859728]","[122, 335, 1143, 1416, 157]"
1922,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.01,torch.optim.Adam,21,270.74881279468536,0.3693665300976993,"[0.09832134292565947, 0.2529832935560859, 0.824607329842932, 0.8698830409356725, 0.0904799370574351]","[0.3360655737704918, 0.3164179104477612, 0.2755905511811024, 0.4201977401129944, 0.732484076433121]","[0.1521335807050093, 0.28116710875331563, 0.4131147540983607, 0.5666666666666668, 0.16106442577030813]","[122, 335, 1143, 1416, 157]"
1923,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.SGD,23,358.8634856939316,0.05200126063662149,"[0.0, 0.0, 0.0, 0.8888888888888888, 0.049620733249051835]","[0.0, 0.0, 0.0, 0.005649717514124294, 1.0]","[0.0, 0.0, 0.0, 0.011228070175438597, 0.09454983438723276]","[122, 335, 1143, 1416, 157]"
1924,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,False,0.001,torch.optim.Adam,15,276.70955431461334,0.3740939174283013,"[0.09484193011647254, 0.2537313432835821, 0.732943469785575, 0.9454545454545454, 0.09612141652613827]","[0.4672131147540984, 0.20298507462686566, 0.3289588801399825, 0.403954802259887, 0.7261146496815286]","[0.15767634854771784, 0.2255389718076285, 0.4541062801932367, 0.566056407718951, 0.16976917349218168]","[122, 335, 1143, 1416, 157]"
1925,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.SGD,23,275.75212490558624,0.3763000315159155,"[0.09090909090909091, 0.22255192878338279, 0.803921568627451, 0.86593707250342, 0.09387430389817025]","[0.32786885245901637, 0.22388059701492538, 0.2869641294838145, 0.4470338983050847, 0.7515923566878981]","[0.1423487544483986, 0.22321428571428573, 0.42295293359123143, 0.5896599906846763, 0.16690240452616692]","[122, 335, 1143, 1416, 157]"
1926,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.01,torch.optim.Adam,23,270.0542958974838,0.3703120075638197,"[0.08390022675736962, 0.18495934959349594, 0.7542735042735043, 0.9433656957928802, 0.09618717504332755]","[0.30327868852459017, 0.2716417910447761, 0.3088363954505687, 0.4117231638418079, 0.7070063694267515]","[0.13143872113676733, 0.2200725513905683, 0.4382371198013656, 0.5732546705998033, 0.16933638443935928]","[122, 335, 1143, 1416, 157]"
1927,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.SGD,56,280.9664236307144,0.3652694610778443,"[0.09939148073022312, 0.25569620253164554, 0.8149100257069408, 0.9174603174603174, 0.09004739336492891]","[0.4016393442622951, 0.30149253731343284, 0.2773403324584427, 0.4081920903954802, 0.7261146496815286]","[0.15934959349593497, 0.27671232876712326, 0.4138381201044386, 0.5650048875855328, 0.16022487702037946]","[122, 335, 1143, 1416, 157]"
1928,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0,True,0.001,torch.optim.Adam,13,274.46913182735443,0.37472423573904823,"[0.09259259259259259, 0.2467866323907455, 0.7434343434343434, 0.9328968903436988, 0.09229534510433386]","[0.32786885245901637, 0.2865671641791045, 0.3219597550306212, 0.4025423728813559, 0.732484076433121]","[0.14440433212996387, 0.26519337016574585, 0.44932844932844934, 0.5624074987666502, 0.16393442622950818]","[122, 335, 1143, 1416, 157]"
1929,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,56,325.7022285461426,0.39899149070280493,"[0.1056338028169014, 0.16266666666666665, 0.4271356783919598, 0.7461263408820024, 0.04568527918781726]","[0.4918032786885246, 0.18208955223880596, 0.4461942257217848, 0.442090395480226, 0.05732484076433121]","[0.17391304347826086, 0.17183098591549298, 0.43645699614890887, 0.5552106430155211, 0.05084745762711865]","[122, 335, 1143, 1416, 157]"
1930,500,3,3,16,128,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,11,286.27925729751587,0.3570753230381343,"[0.08967851099830795, 0.3375796178343949, 0.8218085106382979, 0.9066265060240963, 0.08375451263537906]","[0.4344262295081967, 0.1582089552238806, 0.27034120734908135, 0.4251412429378531, 0.7388535031847133]","[0.14866760168302945, 0.2154471544715447, 0.4068466096115866, 0.5788461538461538, 0.1504539559014267]","[122, 335, 1143, 1416, 157]"
