C,gamma,loss_ensemble
0.01,1e-05,0.7582831325301205
0.01,0.0001,0.758785140562249
0.01,0.001,0.7635542168674698
0.01,0.01,0.7743473895582329
0.01,0.1,0.8232931726907631
0.01,1.0,0.821285140562249
0.01,10.0,0.7183734939759037
0.01,100.0,0.9031124497991968
0.1,1e-05,0.7582831325301205
0.1,0.0001,0.758785140562249
0.1,0.001,0.7730923694779117
0.1,0.01,0.7472389558232932
0.1,0.1,0.7550200803212852
0.1,1.0,0.8258032128514057
0.1,10.0,0.6927710843373494
0.1,100.0,0.8627008032128514
1.0,1e-05,0.7582831325301205
1.0,0.0001,0.7728413654618473
1.0,0.001,0.7454819277108433
1.0,0.01,0.6985441767068273
1.0,0.1,0.7911646586345382
1.0,1.0,0.8084839357429718
1.0,10.0,0.7648092369477911
1.0,100.0,0.6503514056224899
10.0,1e-05,0.7725903614457832
10.0,0.0001,0.7454819277108433
10.0,0.001,0.6774598393574297
10.0,0.01,0.7183734939759037
10.0,0.1,0.8416164658634538
10.0,1.0,0.793925702811245
10.0,10.0,0.7502510040160643
10.0,100.0,0.6659136546184738
100.0,1e-05,0.7454819277108433
100.0,0.0001,0.6749497991967872
100.0,0.001,0.6950301204819277
100.0,0.01,0.7570281124497992
100.0,0.1,0.7944277108433735
100.0,1.0,0.7786144578313253
100.0,10.0,0.7467369477911647
100.0,100.0,0.6573795180722892
1000.0,1e-05,0.6741967871485943
1000.0,0.0001,0.6782128514056225
1000.0,0.001,0.7198795180722892
1000.0,0.01,0.8165160642570282
1000.0,0.1,0.776355421686747
1000.0,1.0,0.7873995983935743
1000.0,10.0,0.7449799196787148
1000.0,100.0,0.6696787148594378
10000.0,1e-05,0.6774598393574297
10000.0,0.0001,0.6930220883534137
10000.0,0.001,0.7427208835341366
10000.0,0.01,0.8150100401606426
10000.0,0.1,0.7710843373493976
10000.0,1.0,0.8468875502008032
10000.0,10.0,0.8330823293172691
10000.0,100.0,0.8471385542168675
100000.0,1e-05,0.679718875502008
100000.0,0.0001,0.7181224899598393
100000.0,0.001,0.7733433734939759
100000.0,0.01,0.803714859437751
100000.0,0.1,0.7590361445783133
100000.0,1.0,0.8381024096385542
100000.0,10.0,0.8376004016064257
100000.0,100.0,0.856425702811245
