size,samples,C,gamma,loss_ensemble
1755.0,9.0,0.1,0.1,0.7889056224899599
1755.0,9.0,0.1,1.0,0.7580321285140562
1755.0,9.0,0.1,10.0,0.7279116465863453
1755.0,9.0,0.1,100.0,0.6393072289156627
1755.0,9.0,1.0,0.1,0.8057228915662651
1755.0,9.0,1.0,1.0,0.7625502008032128
1755.0,9.0,1.0,10.0,0.757781124497992
1755.0,9.0,1.0,100.0,0.7228915662650602
1755.0,9.0,10.0,0.1,0.722640562248996
1755.0,9.0,10.0,1.0,0.7479919678714859
1755.0,9.0,10.0,10.0,0.7638052208835342
1755.0,9.0,10.0,100.0,0.7392068273092369
1755.0,9.0,100.0,0.1,0.6950301204819277
1755.0,9.0,100.0,1.0,0.714859437751004
1755.0,9.0,100.0,10.0,0.7670682730923695
1755.0,9.0,100.0,100.0,0.7351907630522088
1974.0,8.0,0.1,0.1,0.6784638554216867
1974.0,8.0,0.1,1.0,0.75
1974.0,8.0,0.1,10.0,0.7115963855421688
1974.0,8.0,0.1,100.0,0.6393072289156627
1974.0,8.0,1.0,0.1,0.6977911646586346
1974.0,8.0,1.0,1.0,0.7487449799196787
1974.0,8.0,1.0,10.0,0.7562751004016064
1974.0,8.0,1.0,100.0,0.652359437751004
1974.0,8.0,10.0,0.1,0.6852409638554218
1974.0,8.0,10.0,1.0,0.7201305220883534
1974.0,8.0,10.0,10.0,0.7655622489959839
1974.0,8.0,10.0,100.0,0.6646586345381527
1974.0,8.0,100.0,0.1,0.6752008032128514
1974.0,8.0,100.0,1.0,0.7823795180722891
1974.0,8.0,100.0,10.0,0.7645582329317269
1974.0,8.0,100.0,100.0,0.6634036144578312
2256.0,7.0,0.1,0.1,0.6335341365461847
2256.0,7.0,0.1,1.0,0.7354417670682731
2256.0,7.0,0.1,10.0,0.6257530120481928
2256.0,7.0,0.1,100.0,0.6395582329317269
2256.0,7.0,1.0,0.1,0.6352911646586346
2256.0,7.0,1.0,1.0,0.6807228915662651
2256.0,7.0,1.0,10.0,0.7557730923694779
2256.0,7.0,1.0,100.0,0.6508534136546185
2256.0,7.0,10.0,0.1,0.6501004016064257
2256.0,7.0,10.0,1.0,0.6571285140562249
2256.0,7.0,10.0,10.0,0.7530120481927711
2256.0,7.0,10.0,100.0,0.6714357429718876
2256.0,7.0,100.0,0.1,0.6598895582329317
2256.0,7.0,100.0,1.0,0.6890060240963856
2256.0,7.0,100.0,10.0,0.7535140562248996
2256.0,7.0,100.0,100.0,0.6578815261044177
2632.0,6.0,0.1,0.1,0.6310240963855422
2632.0,6.0,0.1,1.0,0.696285140562249
2632.0,6.0,0.1,10.0,0.6317771084337349
2632.0,6.0,0.1,100.0,0.6413152610441767
2632.0,6.0,1.0,0.1,0.632781124497992
2632.0,6.0,1.0,1.0,0.6596385542168675
