C,gamma,loss_ensemble
0.01,1e-05,0.7361947791164658
0.01,0.0001,0.7361947791164658
0.01,0.001,0.7361947791164658
0.01,0.01,0.7361947791164658
0.01,0.1,0.7361947791164658
0.01,1.0,0.7361947791164658
0.01,10.0,0.7361947791164658
0.01,100.0,0.7361947791164658
0.1,1e-05,0.9279618473895582
0.1,0.0001,0.9279618473895582
0.1,0.001,0.9279618473895582
0.1,0.01,0.9279618473895582
0.1,0.1,0.9279618473895582
0.1,1.0,0.9279618473895582
0.1,10.0,0.9279618473895582
0.1,100.0,0.9279618473895582
1.0,1e-05,0.9274598393574297
1.0,0.0001,0.9274598393574297
1.0,0.001,0.9274598393574297
1.0,0.01,0.9274598393574297
1.0,0.1,0.9274598393574297
1.0,1.0,0.9274598393574297
1.0,10.0,0.9274598393574297
1.0,100.0,0.9274598393574297
