size,samples,n_estimators,criterion,bootstrap,class_weight,loss_ensemble
1755,9,10,gini,True,balanced,0.6071787148594378
1755,9,10,gini,True,balanced_subsample,0.6034136546184738
1755,9,10,gini,False,balanced,0.6021586345381527
1755,9,10,gini,False,balanced_subsample,0.6021586345381527
1755,9,10,entropy,True,balanced,0.6031626506024097
1755,9,10,entropy,True,balanced_subsample,0.6049196787148594
1755,9,10,entropy,False,balanced,0.6051706827309237
1755,9,10,entropy,False,balanced_subsample,0.6051706827309237
1755,9,40,gini,True,balanced,0.5988955823293173
1755,9,40,gini,True,balanced_subsample,0.5941265060240963
1755,9,40,gini,False,balanced,0.6014056224899598
1755,9,40,gini,False,balanced_subsample,0.6014056224899598
1755,9,40,entropy,True,balanced,0.5973895582329317
1755,9,40,entropy,True,balanced_subsample,0.5996485943775101
1755,9,40,entropy,False,balanced,0.6004016064257028
1755,9,40,entropy,False,balanced_subsample,0.6004016064257028
1755,9,70,gini,True,balanced,0.5998995983935743
1755,9,70,gini,True,balanced_subsample,0.5971385542168675
1755,9,70,gini,False,balanced,0.5998995983935743
1755,9,70,gini,False,balanced_subsample,0.5998995983935743
1755,9,70,entropy,True,balanced,0.6009036144578312
1755,9,70,entropy,True,balanced_subsample,0.6019076305220883
1755,9,70,entropy,False,balanced,0.5973895582329317
1755,9,70,entropy,False,balanced_subsample,0.5973895582329317
1755,9,90,gini,True,balanced,0.5978915662650602
1755,9,90,gini,True,balanced_subsample,0.5998995983935743
1755,9,90,gini,False,balanced,0.6006526104417671
1755,9,90,gini,False,balanced_subsample,0.6006526104417671
1755,9,90,entropy,True,balanced,0.5978915662650602
1755,9,90,entropy,True,balanced_subsample,0.6006526104417671
1755,9,90,entropy,False,balanced,0.5978915662650602
1755,9,90,entropy,False,balanced_subsample,0.5978915662650602
1974,8,10,gini,True,balanced,0.5991465863453815
1974,8,10,gini,True,balanced_subsample,0.6004016064257028
1974,8,10,gini,False,balanced,0.5978915662650602
1974,8,10,gini,False,balanced_subsample,0.5978915662650602
1974,8,10,entropy,True,balanced,0.5971385542168675
