nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,weight_decay,epoch_stopped,loss,accuracy,precision,precision_total,recall,recall_total,f1_score,f1_score_total,support
5762,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.SGD,0.0001,8,1.6211586540395564,0.1055783170501103,"[0.0, 0.10558, 0.0, 0.0, 0.0]",0.1055783170501103,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.19099, 0.0, 0.0, 0.0]",0.1909920182440136,"[122, 335, 1143, 1416, 157]"
5763,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,8,1.6178528287193992,0.1055783170501103,"[0.0, 0.10558, 0.0, 0.0, 0.0]",0.1055783170501103,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.19099, 0.0, 0.0, 0.0]",0.1909920182440136,"[122, 335, 1143, 1416, 157]"
5764,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,1e-05,torch.optim.SGD,0.0001,13,1.6660158374092795,0.0841474944847147,"[0.05448, 0.07547, 0.38125, 0.66667, 0.04454]",1.2224145532446618,"[0.64754, 0.01194, 0.10674, 0.00141, 0.38217]",1.149795974505853,"[0.10051, 0.02062, 0.16678, 0.00282, 0.07979]",0.3705141709690376,"[122, 335, 1143, 1416, 157]"
5765,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,95,1.4453549580140548,0.3876457611093602,"[0.10426, 0.25091, 0.4479, 0.82215, 0.0871]",1.712318633391776,"[0.40164, 0.20597, 0.46632, 0.37218, 0.33121]",1.7773115362529657,"[0.16554, 0.22623, 0.45692, 0.5124, 0.13793]",1.4990201949231092,"[122, 335, 1143, 1416, 157]"
5766,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,1e-05,torch.optim.SGD,0.0001,10,1.611382449756969,0.3602269145918689,"[0.0, 0.0, 0.36023, 0.0, 0.0]",0.3602269145918689,"[0.0, 0.0, 1.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.52966, 0.0, 0.0]",0.5296570898980538,"[122, 335, 1143, 1416, 157]"
5767,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,18,1.611410589651628,0.0494799873936337,"[0.0, 0.0, 0.0, 0.0, 0.04948]",0.0494799873936337,"[0.0, 0.0, 0.0, 0.0, 1.0]",1.0,"[0.0, 0.0, 0.0, 0.0, 0.09429]",0.0942942942942943,"[122, 335, 1143, 1416, 157]"
5768,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,1e-05,torch.optim.SGD,0.0001,13,1.6568992679769343,0.3554995272612669,"[0.06667, 0.10204, 0.27633, 0.4116, 0.04762]",0.9042650343571614,"[0.04098, 0.02985, 0.17673, 0.64124, 0.01911]",0.9079134799452918,"[0.05076, 0.04619, 0.21558, 0.50138, 0.02727]",0.8411856213676799,"[122, 335, 1143, 1416, 157]"
5769,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,61,1.4711426995017312,0.332492908919004,"[0.07981, 0.0, 0.51397, 0.7924, 0.08458]",1.4707557353468663,"[0.68033, 0.0, 0.32196, 0.38277, 0.3949]",1.779960444063727,"[0.14286, 0.0, 0.39591, 0.51619, 0.13933]",1.1942852422714134,"[122, 335, 1143, 1416, 157]"
5770,500,3,10,16,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.SGD,0.0001,10,1.6212696834044025,0.3602269145918689,"[0.0, 0.0, 0.36023, 0.0, 0.0]",0.3602269145918689,"[0.0, 0.0, 1.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.52966, 0.0, 0.0]",0.5296570898980538,"[122, 335, 1143, 1416, 157]"
5771,500,3,10,16,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,8,1.6267707868055865,0.4462653640088244,"[0.0, 0.0, 0.0, 0.44627, 0.0]",0.4462653640088244,"[0.0, 0.0, 0.0, 1.0, 0.0]",1.0,"[0.0, 0.0, 0.0, 0.61713, 0.0]",0.6171279145783395,"[122, 335, 1143, 1416, 157]"
