nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,epoch_stopped,loss,accuracy,precision,recall,f1_score,support
1,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.01,torch.optim.SGD,18,1.271124575604505,0.3835486920895052,"[0.09983, 0.33178, 0.74089, 0.90149, 0.0972]","[0.47541, 0.21194, 0.32021, 0.42655, 0.75159]","[0.16501, 0.25865, 0.44716, 0.5791, 0.17214]","[122, 335, 1143, 1416, 157]"
2,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.01,torch.optim.Adam,8,1.3231213505091686,0.3693665300976993,"[0.12181, 0.21196, 0.72672, 0.94774, 0.09083]","[0.35246, 0.34925, 0.31409, 0.38418, 0.69427]","[0.18105, 0.26381, 0.43861, 0.54673, 0.16065]","[122, 335, 1143, 1416, 157]"
3,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.001,torch.optim.SGD,56,1.3203289352123513,0.367790734320832,"[0.09499, 0.33117, 0.69646, 0.91547, 0.08751]","[0.59016, 0.15224, 0.32721, 0.40537, 0.61146]","[0.16364, 0.20859, 0.44524, 0.56192, 0.15311]","[122, 335, 1143, 1416, 157]"
4,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,0.001,torch.optim.Adam,26,1.220157096271023,0.3844941695556256,"[0.07963, 0.22419, 0.75975, 0.90574, 0.10542]","[0.42623, 0.22687, 0.32371, 0.43432, 0.68153]","[0.13419, 0.22552, 0.45399, 0.58711, 0.18259]","[122, 335, 1143, 1416, 157]"
5,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.SGD,33,1.29448610607685,0.3699968484084462,"[0.09692, 0.40164, 0.81324, 0.93136, 0.09035]","[0.54098, 0.14627, 0.30096, 0.42161, 0.75159]","[0.16438, 0.21444, 0.43934, 0.58046, 0.16131]","[122, 335, 1143, 1416, 157]"
6,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.01,torch.optim.Adam,15,1.3448535637270174,0.3586511188150015,"[0.08581, 0.32584, 0.85042, 0.90772, 0.08941]","[0.66393, 0.17313, 0.26859, 0.42373, 0.58599]","[0.15197, 0.22612, 0.40824, 0.57776, 0.15514]","[122, 335, 1143, 1416, 157]"
7,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.SGD,50,1.3836158742551847,0.3482508666876773,"[0.08365, 0.33953, 0.81429, 0.88182, 0.08542]","[0.54098, 0.21791, 0.24934, 0.41102, 0.63057]","[0.1449, 0.26545, 0.38178, 0.56069, 0.15046]","[122, 335, 1143, 1416, 157]"
8,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.2,False,0.001,torch.optim.Adam,22,1.2620621975427786,0.376615190671289,"[0.09613, 0.48039, 0.7563, 0.91566, 0.08968]","[0.59016, 0.14627, 0.31496, 0.42938, 0.67516]","[0.16533, 0.22426, 0.44472, 0.58462, 0.15833]","[122, 335, 1143, 1416, 157]"
9,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.01,torch.optim.SGD,28,1.2616063222756837,0.4002521273242987,"[0.10396, 0.31837, 0.65789, 0.91523, 0.09726]","[0.34426, 0.23284, 0.3937, 0.41172, 0.74522]","[0.1597, 0.26897, 0.49261, 0.56795, 0.17206]","[122, 335, 1143, 1416, 157]"
10,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.01,torch.optim.Adam,15,1.3167586780650198,0.3781909864481563,"[0.09767, 0.29439, 0.70039, 0.80231, 0.08717]","[0.51639, 0.18806, 0.31496, 0.44138, 0.56688]","[0.16428, 0.22951, 0.43452, 0.56948, 0.1511]","[122, 335, 1143, 1416, 157]"
11,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.001,torch.optim.SGD,41,1.3375106162888586,0.3671604160100851,"[0.09009, 0.30314, 0.72842, 0.90409, 0.08747]","[0.4918, 0.2597, 0.30271, 0.40607, 0.61783]","[0.15228, 0.27974, 0.42769, 0.56043, 0.15324]","[122, 335, 1143, 1416, 157]"
12,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,0.001,torch.optim.Adam,13,1.2410642834121337,0.3778758272927828,"[0.0987, 0.23848, 0.75551, 0.91172, 0.10035]","[0.43443, 0.26269, 0.30009, 0.42302, 0.73885]","[0.16085, 0.25, 0.42956, 0.57791, 0.17669]","[122, 335, 1143, 1416, 157]"
13,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.SGD,17,1.3997477611418263,0.3955247399936968,"[0.09013, 0.32847, 0.71795, 0.86326, 0.0914]","[0.51639, 0.26866, 0.34296, 0.44138, 0.5414]","[0.15347, 0.29557, 0.46418, 0.58411, 0.15639]","[122, 335, 1143, 1416, 157]"
14,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.01,torch.optim.Adam,10,1.3448419081122351,0.3491963441537977,"[0.08857, 0.36413, 0.7974, 0.92647, 0.08169]","[0.45082, 0.2, 0.26859, 0.40042, 0.71338]","[0.14805, 0.25819, 0.40183, 0.55917, 0.1466]","[122, 335, 1143, 1416, 157]"
15,500,3,1,8,16,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.2,False,0.001,torch.optim.SGD,60,1.373998881689369,0.3605420737472423,"[0.08457, 0.34274, 0.77641, 0.88537, 0.08383]","[0.46721, 0.25373, 0.27647, 0.41455, 0.63057]","[0.14322, 0.2916, 0.40774, 0.56469, 0.14798]","[122, 335, 1143, 1416, 157]"
