C,gamma,loss_ensemble
0.01,1e-05,0.8448795180722891
0.01,0.0001,0.8428714859437751
0.01,0.001,0.8298192771084337
0.01,0.01,0.7720883534136547
0.01,0.1,0.8029618473895582
0.01,1.0,0.6566265060240963
0.01,10.0,0.6506024096385542
0.01,100.0,0.8632028112449799
0.1,1e-05,0.8448795180722891
0.1,0.0001,0.8428714859437751
0.1,0.001,0.7931726907630522
0.1,0.01,0.7560240963855421
0.1,0.1,0.722640562248996
0.1,1.0,0.7201305220883534
0.1,10.0,0.7141064257028112
0.1,100.0,0.6731927710843373
1.0,1e-05,0.8448795180722891
1.0,0.0001,0.7901606425702812
1.0,0.001,0.7532630522088354
1.0,0.01,0.714859437751004
1.0,0.1,0.6982931726907631
1.0,1.0,0.7329317269076305
1.0,10.0,0.6837349397590362
1.0,100.0,0.6541164658634537
10.0,1e-05,0.7901606425702812
10.0,0.0001,0.7532630522088354
10.0,0.001,0.7136044176706827
10.0,0.01,0.6782128514056225
10.0,0.1,0.6882530120481928
10.0,1.0,0.7095883534136547
10.0,10.0,0.6636546184738956
10.0,100.0,0.6450803212851406
100.0,1e-05,0.7532630522088354
100.0,0.0001,0.7146084337349398
100.0,0.001,0.6799698795180723
100.0,0.01,0.6837349397590362
100.0,0.1,0.6618975903614458
100.0,1.0,0.6852409638554218
100.0,10.0,0.6558734939759037
100.0,100.0,0.6443273092369478
1000.0,1e-05,0.7146084337349398
1000.0,0.0001,0.6809738955823292
1000.0,0.001,0.6767068273092369
1000.0,0.01,0.6822289156626506
1000.0,0.1,0.6533634538152611
1000.0,1.0,0.6654116465863453
1000.0,10.0,0.821285140562249
1000.0,100.0,0.813504016064257
10000.0,1e-05,0.6819779116465863
10000.0,0.0001,0.6779618473895582
10000.0,0.001,0.6852409638554218
10000.0,0.01,0.6603915662650602
10000.0,0.1,0.6649096385542168
10000.0,1.0,0.8180220883534137
10000.0,10.0,0.8207831325301205
10000.0,100.0,0.8298192771084337
100000.0,1e-05,0.6809738955823292
100000.0,0.0001,0.6804718875502008
100000.0,0.001,0.6822289156626506
100000.0,0.01,0.6405622489959839
100000.0,0.1,0.6674196787148594
100000.0,1.0,0.821285140562249
100000.0,10.0,0.8242971887550201
100000.0,100.0,0.8355923694779117
