nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,weight_decay,epoch_stopped,loss,accuracy,precision,precision_total,recall,recall_total,f1_score,f1_score_total,support
5762,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.SGD,0.0001,8,89.1637259721756,0.1055783170501103,"[0.0, 0.10557831705011031, 0.0, 0.0, 0.0]",0.1055783170501103,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.19099201824401368, 0.0, 0.0, 0.0]",0.1909920182440136,"[122, 335, 1143, 1416, 157]"
5763,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,8,88.98190557956696,0.1055783170501103,"[0.0, 0.10557831705011031, 0.0, 0.0, 0.0]",0.1055783170501103,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.19099201824401368, 0.0, 0.0, 0.0]",0.1909920182440136,"[122, 335, 1143, 1416, 157]"
5764,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,1e-05,torch.optim.SGD,0.0001,13,91.63087105751038,0.0841474944847147,"[0.05448275862068966, 0.07547169811320754, 0.38125, 0.6666666666666666, 0.044543429844097995]",1.2224145532446618,"[0.6475409836065574, 0.011940298507462687, 0.10673665791776028, 0.0014124293785310734, 0.3821656050955414]",1.149795974505853,"[0.10050890585241731, 0.02061855670103093, 0.16678058783321942, 0.0028188865398167725, 0.0797872340425532]",0.3705141709690376,"[122, 335, 1143, 1416, 157]"
5765,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,95,79.49452269077301,0.3876457611093602,"[0.10425531914893617, 0.2509090909090909, 0.44789915966386556, 0.8221528861154446, 0.08710217755443886]",1.712318633391776,"[0.4016393442622951, 0.20597014925373133, 0.4663167104111986, 0.3721751412429379, 0.33121019108280253]",1.7773115362529657,"[0.16554054054054054, 0.22622950819672133, 0.4569224174882126, 0.512396694214876, 0.13793103448275862]",1.4990201949231092,"[122, 335, 1143, 1416, 157]"
5766,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,1e-05,torch.optim.SGD,0.0001,10,88.6260347366333,0.3602269145918689,"[0.0, 0.0, 0.3602269145918689, 0.0, 0.0]",0.3602269145918689,"[0.0, 0.0, 1.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.5296570898980538, 0.0, 0.0]",0.5296570898980538,"[122, 335, 1143, 1416, 157]"
5767,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,18,88.62758243083954,0.0494799873936337,"[0.0, 0.0, 0.0, 0.0, 0.04947998739363379]",0.0494799873936337,"[0.0, 0.0, 0.0, 0.0, 1.0]",1.0,"[0.0, 0.0, 0.0, 0.0, 0.0942942942942943]",0.0942942942942943,"[122, 335, 1143, 1416, 157]"
5768,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,1e-05,torch.optim.SGD,0.0001,13,91.12945973873138,0.3554995272612669,"[0.06666666666666667, 0.10204081632653061, 0.2763337893296854, 0.41160471441523117, 0.047619047619047616]",0.9042650343571614,"[0.040983606557377046, 0.029850746268656716, 0.17672790901137359, 0.6412429378531074, 0.01910828025477707]",0.9079134799452918,"[0.05076142131979695, 0.04618937644341801, 0.21558164354322307, 0.5013804527885146, 0.027272727272727275]",0.8411856213676799,"[122, 335, 1143, 1416, 157]"
5769,500,3,10,16,512,Tanh(),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,61,80.91284847259521,0.332492908919004,"[0.0798076923076923, 0.0, 0.5139664804469274, 0.7923976608187134, 0.08458390177353342]",1.4707557353468663,"[0.680327868852459, 0.0, 0.3219597550306212, 0.3827683615819209, 0.39490445859872614]",1.779960444063727,"[0.14285714285714285, 0.0, 0.3959117805271652, 0.5161904761904762, 0.1393258426966292]",1.1942852422714134,"[122, 335, 1143, 1416, 157]"
5770,500,3,10,16,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.SGD,0.0001,10,89.16983258724213,0.3602269145918689,"[0.0, 0.0, 0.3602269145918689, 0.0, 0.0]",0.3602269145918689,"[0.0, 0.0, 1.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.5296570898980538, 0.0, 0.0]",0.5296570898980538,"[122, 335, 1143, 1416, 157]"
5771,500,3,10,16,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,8,89.47239327430725,0.4462653640088244,"[0.0, 0.0, 0.0, 0.44626536400882444, 0.0]",0.4462653640088244,"[0.0, 0.0, 0.0, 1.0, 0.0]",1.0,"[0.0, 0.0, 0.0, 0.6171279145783395, 0.0]",0.6171279145783395,"[122, 335, 1143, 1416, 157]"
