nr_train,num_epochs,n_bad_epochs,num_hidden_layers,hidden_size,batch_size,af_first_layer,af_hidden_layers,af_output_layer,loss_function,dropout,batch_norm,learning_rate,optimizer,weight_decay,epoch_stopped,loss,accuracy,precision,precision_total,recall,recall_total,f1_score,f1_score_total,support
5874,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,10,1.6104093220856812,0.4462653640088244,"[0.0, 0.0, 0.0, 0.44627, 0.0]",0.4462653640088244,"[0.0, 0.0, 0.0, 1.0, 0.0]",1.0,"[0.0, 0.0, 0.0, 0.61713, 0.0]",0.6171279145783395,"[122, 335, 1143, 1416, 157]"
5875,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,48,1.3145247622653171,0.329026158209896,"[0.08174, 0.22409, 0.6172, 0.85386, 0.09426]",1.87115063546246,"[0.38525, 0.23881, 0.25109, 0.36723, 0.70064]",1.943014066180174,"[0.13486, 0.23121, 0.35697, 0.51358, 0.16616]",1.4027861374474535,"[122, 335, 1143, 1416, 157]"
5876,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,10,1.6104736360343728,0.3602269145918689,"[0.0, 0.0, 0.36023, 0.0, 0.0]",0.3602269145918689,"[0.0, 0.0, 1.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.52966, 0.0, 0.0]",0.5296570898980538,"[122, 335, 1143, 1416, 157]"
5877,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,True,1e-05,torch.optim.Adam,0.0001,41,1.5810494089985754,0.0384494169555625,"[0.03899, 0.0, 0.0, 0.0, 0.0]",0.0389900926813678,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.07505, 0.0, 0.0, 0.0, 0.0]",0.0750538295908951,"[122, 335, 1143, 1416, 157]"
5878,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,89,1.303821655007096,0.3709423258745666,"[0.12058, 0.26269, 0.77427, 0.94676, 0.09063]",2.1949226012257883,"[0.47541, 0.26269, 0.30009, 0.40184, 0.75796]",2.1979818339252004,"[0.19237, 0.26269, 0.43253, 0.5642, 0.1619]",1.6137017472168809,"[122, 335, 1143, 1416, 157]"
5879,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,57,1.2876429203394295,0.3350141821619918,"[0.0798, 0.24609, 0.65741, 0.83358, 0.08848]",1.90536749968706,"[0.40164, 0.18806, 0.24847, 0.39619, 0.67516]",1.909513663483916,"[0.13315, 0.2132, 0.36063, 0.5371, 0.15646]",1.400541719140668,"[122, 335, 1143, 1416, 157]"
5880,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,8,1.6110636178437654,0.3602269145918689,"[0.0, 0.0, 0.36023, 0.0, 0.0]",0.3602269145918689,"[0.0, 0.0, 1.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.52966, 0.0, 0.0]",0.5296570898980538,"[122, 335, 1143, 1416, 157]"
5881,500,3,12,64,256,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.5,True,1e-05,torch.optim.Adam,0.0001,39,1.569021076769442,0.1055783170501103,"[0.0, 0.10558, 0.0, 0.0, 0.0]",0.1055783170501103,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.19099, 0.0, 0.0, 0.0]",0.1909920182440136,"[122, 335, 1143, 1416, 157]"
5882,500,3,12,64,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,8,1.6101018537174572,0.4462653640088244,"[0.0, 0.0, 0.0, 0.44627, 0.0]",0.4462653640088244,"[0.0, 0.0, 0.0, 1.0, 0.0]",1.0,"[0.0, 0.0, 0.0, 0.61713, 0.0]",0.6171279145783395,"[122, 335, 1143, 1416, 157]"
5883,500,3,12,64,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,68,1.2844556548378685,0.3410022061140876,"[0.08511, 0.26786, 0.62395, 0.82148, 0.09122]",1.889612608388052,"[0.42623, 0.1791, 0.25984, 0.39972, 0.68153]",1.946422682038377,"[0.14188, 0.21467, 0.36689, 0.53777, 0.1609]",1.4221143462787638,"[122, 335, 1143, 1416, 157]"
5884,500,3,12,64,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,False,1e-05,torch.optim.Adam,0.0001,10,1.610593021999706,0.1055783170501103,"[0.0, 0.10558, 0.0, 0.0, 0.0]",0.1055783170501103,"[0.0, 1.0, 0.0, 0.0, 0.0]",1.0,"[0.0, 0.19099, 0.0, 0.0, 0.0]",0.1909920182440136,"[122, 335, 1143, 1416, 157]"
5885,500,3,12,64,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),None,CrossEntropyLoss(),0.5,True,1e-05,torch.optim.Adam,0.0001,34,1.5949052854017778,0.0384494169555625,"[0.03846, 0.0, 0.0, 0.0, 0.0]",0.0384615384615384,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.07407, 0.0, 0.0, 0.0, 0.0]",0.074074074074074,"[122, 335, 1143, 1416, 157]"
5886,500,3,12,64,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,False,1e-05,torch.optim.Adam,0.0001,8,1.610059636289423,0.0494799873936337,"[0.0, 0.0, 0.0, 0.0, 0.04948]",0.0494799873936337,"[0.0, 0.0, 0.0, 0.0, 1.0]",1.0,"[0.0, 0.0, 0.0, 0.0, 0.09429]",0.0942942942942943,"[122, 335, 1143, 1416, 157]"
5887,500,3,12,64,512,LeakyReLU(negative_slope=0.01),LeakyReLU(negative_slope=0.01),LogSoftmax(dim=1),KLDivLoss(),0.0,True,1e-05,torch.optim.Adam,0.0001,76,1.287834271517667,0.3028679483138985,"[0.08176, 0.20173, 0.55902, 0.79445, 0.08954]",1.726502671894125,"[0.42623, 0.20896, 0.2196, 0.34393, 0.64331]",1.8420209379666743,"[0.1372, 0.20528, 0.31533, 0.48004, 0.1572]",1.2950462636376732,"[122, 335, 1143, 1416, 157]"
