C,gamma,loss_ensemble
0.01,1e-05,0.8187751004016064
0.01,0.0001,0.8182730923694779
0.01,0.001,0.8089859437751004
0.01,0.01,0.7743473895582329
0.01,0.1,0.8024598393574297
0.01,1.0,0.6563755020080322
0.01,10.0,0.6556224899598393
0.01,100.0,0.6362951807228916
0.1,1e-05,0.8187751004016064
0.1,0.0001,0.8182730923694779
0.1,0.001,0.7954317269076305
0.1,0.01,0.7648092369477911
0.1,0.1,0.7469879518072289
0.1,1.0,0.7003012048192772
0.1,10.0,0.6947791164658634
0.1,100.0,0.6362951807228916
1.0,1e-05,0.8187751004016064
1.0,0.0001,0.8004518072289156
1.0,0.001,0.7650602409638554
1.0,0.01,0.7228915662650602
1.0,0.1,0.7068273092369478
1.0,1.0,0.7296686746987953
1.0,10.0,0.7128514056224899
1.0,100.0,0.6837349397590362
10.0,1e-05,0.8002008032128514
10.0,0.0001,0.7645582329317269
10.0,0.001,0.7218875502008032
10.0,0.01,0.695281124497992
10.0,0.1,0.6877510040160643
10.0,1.0,0.7301706827309237
10.0,10.0,0.7203815261044177
10.0,100.0,0.7003012048192772
100.0,1e-05,0.7648092369477911
100.0,0.0001,0.7218875502008032
100.0,0.001,0.6967871485943775
100.0,0.01,0.6867469879518072
100.0,0.1,0.6757028112449799
100.0,1.0,0.7349397590361446
100.0,10.0,0.7105923694779117
100.0,100.0,0.7035642570281124
1000.0,1e-05,0.7218875502008032
1000.0,0.0001,0.6970381526104418
1000.0,0.001,0.6915160642570282
1000.0,0.01,0.6782128514056225
1000.0,0.1,0.6724397590361446
1000.0,1.0,0.7294176706827309
1000.0,10.0,0.7700803212851406
1000.0,100.0,0.7035642570281124
10000.0,1e-05,0.6970381526104418
10000.0,0.0001,0.6902610441767068
10000.0,0.001,0.6877510040160643
10000.0,0.01,0.6676706827309237
10000.0,0.1,0.6739457831325302
10000.0,1.0,0.7271586345381527
10000.0,10.0,0.8709839357429718
10000.0,100.0,0.8820281124497992
100000.0,1e-05,0.6917670682730923
100000.0,0.0001,0.6907630522088353
100000.0,0.001,0.6794678714859438
100000.0,0.01,0.6613955823293173
100000.0,0.1,0.669929718875502
100000.0,1.0,0.8722389558232931
100000.0,10.0,0.8885542168674698
100000.0,100.0,0.8855421686746988
